Metric,Mean,Std,Median,Interval_Lower_2.5%,Interval_Upper_97.5%
Structural,0.14312600648641935,0.3203730095959525,0.00380706414733097,-0.12526443374095486,1.0
OAC,0.10637150159041685,0.22482465830759654,0.026251371574257134,-0.08185743215588069,1.0
SC,0.2869109237852698,0.3279236858043498,0.18040567241929673,-0.13229464203043703,1.0
RSC,0.33834456011673364,0.3475305397484126,0.23638104329415607,-0.03237292941636935,1.0
